,PRD_CD,PRD_NM,vgn_bgn_dttm,vgn_end_dttm
451,111040013.0,롱테이크 샌달우드 인텐시브 헤어 오일 50ml,2022-03-31,2023-03-30
452,111040014.0,롱테이크 블랙티앤피그 소프트닝 헤어 오일 50ml,2022-03-31,2023-03-30
453,111040000.0,롱테이크 샌달우드 인텐시브 샴푸 300ML,2022-03-31,2023-03-30
454,111040109.0,롱테이크 샌달우드 인텐시브 샴푸 300ML (우리은행VVIP,2022-03-31,2023-03-30
455,111040001.0,롱테이크 블랙티앤피그 소프트닝 샴푸 300ML,2022-03-31,2023-03-30
456,111292074.0,[비건]해피바스 마이크로미셀라 약산성 딥클렌징폼 150G(22,2022-04-25,2023-04-24
457,110030143.0,라보에이치 탈모증상완화 트리트먼트 두피강화 리브르 200ml(22,2022-04-25,2023-04-24
458,110030144.0,라보에이치 탈모증상완화 트리트먼트 두피강화 진저릴리 200ml(22,2022-04-25,2023-04-24
459,110030141.0,라보에이치 탈모증상완화 샴푸 두피강화 리브르 337ml(22,2022-04-25,2023-04-24
460,110030142.0,라보에이치 탈모증상완화 샴푸 두피강화 진저릴리 337ml(22,2022-04-25,2023-04-24
461,111292237.0,해피바스 오리지널컬렉션 자몽바디워시 910g*2(쿠팡,2022-04-26,2023-04-25
462,111292156.0,해피바스 오리지널컬렉션자몽바디워시 910G,2022-04-26,2023-04-25
463,111292157.0,해피바스 오리지널컬렉션자몽바디워시 500G,2022-04-26,2023-04-25
464,111650515.0,중국)한율 어린쑥수분진정플루이드 125ml(19,2022-05-26,2023-05-25
465,111650008.0,한율 어린쑥수분진정플루이드 125ml,2022-05-26,2023-05-25
466,111651265.0,한율 어린쑥수분진정플루이드 125ml(23AD(착인,2022-05-26,2023-05-25
467,111650341.0,한율 어린쑥 수분진정플루이드 125ml(17AD,2022-05-26,2023-05-25
468,111650724.0,한율 어린쑥수분진정플루이드 125ml(20,2022-05-26,2023-05-25
469,110030225.0,라보에이치 탈모증상완화 샴푸 두피강화 페어앤프리지아 750ml(23,2022-05-26,2023-05-25
470,110030136.0,라보에이치 탈모증상완화 샴푸 두피강화 페어앤프리지아 400ml(21,2022-05-26,2023-05-25
471,110030135.0,라보에이치 탈모증상완화 샴푸 두피강화 블랑쉬앤우디 400ml(21,2022-05-26,2023-05-25
472,110030230.0,라보에이치 탈모증상완화 샴푸 두피강화 블랑쉬앤우디 750ml(23,2022-05-26,2023-05-25
473,111650996.0,한율 달빛유자 비타C 선크림 50ml (단품기획세트),2022-06-08,2023-06-07
474,111650952.0,한율 달빛유자 비타C 선크림 50ml (21,2022-06-08,2023-06-07
475,111651226.0,한율 달빛유자 비타C 선크림 50ml_OY단품기획세트,2022-06-08,2023-06-07
476,111650995.0,한율 달빛유자 비타C 토너 150ml (단품기획세트),2022-06-08,2023-06-07
477,111650948.0,한율 달빛유자 비타C 토너 150ml (21,2022-06-08,2023-06-07
478,110651791.0,마몽드 프로바이오틱스세라마이드인텐스크림 60ml(21(착인),2022-06-08,2023-06-07
479,110652309.0,마몽드 프로바이오틱스세라마이드 인텐스크림60ml(23AD(착인),2022-06-08,2023-06-07
480,110652246.0,마몽드 로즈 파하 리퀴드 마스크 OY 단품기획 ('22 (착인,2022-06-15,2023-06-14
481,110652225.0,마몽드 로즈+파하 리퀴드 마스크_80ml,2022-06-15,2023-06-14
482,110652252.0,마몽드 로즈+파하 리퀴드 마스크 리미티드 (본80ml,2022-06-15,2023-06-14
483,110652314.0,마몽드 플로라글로우 로즈리퀴드마스크_80ml,2022-06-15,2023-06-14
484,110652226.0,마몽드 포어 클리어 마스터 80ml (22),2022-06-15,2023-06-14
485,111650994.0,한율 다홍매실 각질정화 토너 300ml_22,2022-06-15,2023-06-14
486,111292121.0,해피바스 오리지널 컬렉션 오리지널 바디오일250mL,2022-06-24,2023-06-23
487,111292255.0,해피바스 오리지널컬렉션 오리지널 바디오일 250ml*2입 (올영기획),2022-06-24,2023-06-23
488,111292122.0,해피바스 오리지널 컬렉션 베이비파우더 바디오일 250ml,2022-06-24,2023-06-23
489,111292116.0,해피바스 오리지널 컬렉션 오리지널 바디로션 500g,2022-06-24,2023-06-23
490,111292117.0,해피바스 오리지널 컬렉션 베이비파우더 바디로션 500g,2022-06-24,2023-06-23
491,111292118.0,해피바스 오리지널 컬렉션 클린코튼 바디로션 500g,2022-06-24,2023-06-23
492,111292119.0,해피바스 오리지널 컬렉션 카밍시카 바디로션 500g,2022-06-24,2023-06-23
493,111270592.0,일리윤 프레쉬모이스춰 딥클렌징폼 기획 140ml*2(올영전용),2022-06-24,2023-06-23
494,111270548.0,일리윤 프레쉬모이스춰 딥클렌징폼 140ml (20),2022-06-24,2023-06-23
495,111270574.0,일리윤 프레쉬모이스춰 딥클렌징폼 기획 120ml*2(롭스),2022-06-24,2023-06-23
496,111270832.0,일리윤 프레쉬모이스춰 딥클렌징폼 120g(22,2022-06-24,2023-06-23
497,111270716.0,일리윤 세라마이드 더마 약산성 클렌징폼 80g(21(기한표기,2022-06-24,2023-06-23
498,111270663.0,일리윤 세라마이드 더마 약산성 클렌징폼 120gl(21(기한표기,2022-06-24,2023-06-23
499,111270677.0,일리윤 세라마이드 더마 약산성 클렌징폼 15g(21(기한표기,2022-06-24,2023-06-23
500,110030096.0,라보에이치 탈모증상완화 샴푸 댄드러프클리닉 지성트러블비듬400ml(22,2022-06-24,2023-06-23
501,110030154.0,라보에이치 탈모증상완화 샴푸 댄드러프클리닉 지성트러블비듬 333ml(22,2022-06-24,2023-06-23
502,110030160.0,라보에이치 탈모증상완화 샴푸 댄드러프클리닉 지성트러블비듬 125ml(22,2022-06-24,2023-06-23
503,110030095.0,라보에이치 탈모증상완화 샴푸 댄드러프클리닉 일반건성비듬 400ml(22,2022-06-24,2023-06-23
504,110030153.0,라보에이치 탈모증상완화 샴푸 댄드러프클리닉 일반건성비듬 333ml(22,2022-06-24,2023-06-23
505,111413945.0,려 본초진 탈모증상완화 샴푸353ML(GEC(22,2022-07-21,2023-07-20
506,111040021.0,롱테이크 샌달우드 인텐시브 바디로션 200ML,2022-07-21,2023-07-20
507,111040022.0,롱테이크 블랙티앤피그 소프트닝 바디로션 200ML,2022-07-21,2023-07-20
508,110980001.0,이너프 프로젝트 클렌징 오일 150ML(쿠팡) (착인),2022-07-21,2023-07-20
509,110980005.0,이너프 프로젝트 올인원 에센스 75ML(쿠팡) (착인),2022-07-21,2023-07-20
